,성별,연령/시도,총계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,Year
220,남성,10대이하,9532,2048,577,212,477,164,264,210,75,2654,265,391,385,365,320,269,654,202,202411
221,남성,20대,525575,50193,25530,23365,31546,18528,18028,14414,3497,145583,20599,24267,31386,21088,23565,31789,35446,6751,202411
222,남성,30대,2303875,307138,123074,109375,146363,66551,71278,55686,24193,691769,68403,84715,118284,70244,75026,115267,147548,28961,202411
223,남성,40대,3888704,490861,210083,187223,226522,115165,109787,98917,44304,1123749,114904,133092,201510,136626,142995,214233,280726,58007,202411
224,남성,50대,4579386,533489,227586,231813,240957,133352,132762,125395,36108,1200185,163813,176693,236425,195647,212270,306222,354943,71726,202411
225,남성,60대,3649346,429741,201751,180754,188869,89591,98316,103230,21642,861498,151900,150470,194492,162708,184668,284159,293069,52488,202411
226,남성,70대,1169629,161473,68909,58701,49151,27226,29522,25997,5961,240385,51842,47354,66212,60197,66072,102008,90818,17801,202411
227,남성,80대,183439,28484,9635,8963,6314,4062,4255,2808,793,39454,9741,7694,10652,9648,9885,15388,12200,3463,202411
228,남성,90대이상,13531,2652,936,694,510,275,279,174,48,2921,485,378,681,797,724,927,812,238,202411
229,남성,계,16323017,2006079,868081,801100,890709,454914,464491,426831,136621,4308198,581952,625054,860027,657320,715525,1070262,1216216,239637,202411
230,여성,10대이하,6319,1111,282,110,1767,93,149,77,35,1317,130,171,184,177,177,115,353,71,202411
231,여성,20대,265953,25331,11855,12176,15274,11412,9930,6020,2344,70965,10386,12837,15635,12200,12443,15245,17272,4628,202411
232,여성,30대,978602,125589,49366,45202,60417,34717,32323,21166,12400,281654,31331,36552,48466,35838,35496,48156,62854,17075,202411
233,여성,40대,1487695,185643,78745,72462,86919,50974,46450,32737,17723,418769,49018,52416,70333,56555,54681,79288,106717,28265,202411
234,여성,50대,1797353,202557,92887,95259,98425,58916,54742,39834,13173,486240,67961,69123,87884,76458,75255,109450,134684,34505,202411
235,여성,60대,1176083,137296,64372,60228,61785,32376,33721,24340,7088,295965,52017,46013,61843,53055,53978,81562,87858,22586,202411
236,여성,70대,255185,39156,14404,13164,11067,6572,6620,4508,1272,61791,11484,9393,12801,12058,11208,17661,16918,5108,202411
237,여성,80대,40875,7059,2238,1847,1668,955,1007,569,194,10193,1653,1368,2021,2179,2178,2499,2489,758,202411
238,여성,90대이상,7930,1281,412,325,341,207,204,130,31,1930,395,220,408,524,438,453,503,128,202411
239,여성,계,6015995,725023,314561,300773,337663,196222,185146,129381,54260,1628824,224375,228093,299575,249044,245854,354429,429648,113124,202411
240,기타,법인 및 사업자,3934594,446325,373645,160239,521927,79073,86764,50758,11186,695502,67955,95599,112351,95972,313933,127496,334040,361829,202411
241,합계,,26273606,3177427,1556287,1262112,1750299,730209,736401,606970,202067,6632524,874282,948746,1271953,1002336,1275312,1552187,1979904,714590,202411
242,남성,10대이하,9469,2042,573,205,477,164,257,212,73,2627,265,376,384,366,321,276,658,193,2402412
243,남성,20대,523610,49846,25431,23264,31379,18556,17968,14442,3469,145128,20522,24163,31313,21020,23529,31577,35317,6686,2402412
244,남성,30대,2303549,306743,122992,109452,146459,66566,71315,55771,24151,692024,68457,84836,118303,70259,74998,114942,147415,28866,2402412
245,남성,40대,3878252,489536,209416,186868,226313,114657,109422,98686,44201,1122196,114383,132466,200521,136257,142734,213283,279449,57864,2402412
246,남성,50대,4578349,533148,227847,231682,240994,133424,132785,124986,36248,1200808,163913,176329,236318,195295,212045,305926,354823,71778,2402412
247,남성,60대,3663829,430538,201818,181424,189753,89958,98732,103741,21704,866204,152181,151610,195567,163495,185411,284896,294219,52578,2402412
248,남성,70대,1179106,162616,69528,59126,49580,27404,29749,26225,6034,242315,52295,47775,66765,60684,66616,102792,91670,17932,2402412
249,남성,80대,183725,28502,9681,8946,6326,4068,4224,2827,797,39507,9795,7690,10644,9651,9905,15403,12284,3475,2402412
250,남성,90대이상,13642,2688,942,705,519,281,279,176,50,2949,495,378,691,794,718,933,800,244,2402412
251,남성,계,16333531,2005659,868228,801672,891800,455078,464731,427066,136727,4313758,582306,625623,860506,657821,716277,1070028,1216635,239616,2402412
252,여성,10대이하,6234,1106,278,108,1717,94,143,76,35,1299,130,173,186,176,175,115,350,73,2402412
253,여성,20대,264049,25133,11770,12127,15163,11420,9833,5995,2325,70295,10334,12768,15554,12117,12376,15139,17116,4584,2402412
254,여성,30대,979977,125677,49275,45167,60596,34663,32422,21130,12430,282376,31333,36660,48585,35858,35616,48245,62862,17082,2402412
255,여성,40대,1483410,185341,78516,72319,86862,50799,46183,32711,17719,417612,48815,52209,69980,56246,54565,78947,106309,28277,2402412
256,여성,50대,1799326,202554,93012,95310,98561,59046,54840,39868,13216,486960,67952,69182,88005,76547,75310,109539,134993,34431,2402412
257,여성,60대,1183769,137771,64619,60740,62303,32566,33950,24527,7119,298104,52267,46492,62389,53335,54231,82038,88551,22767,2402412
258,여성,70대,257835,39427,14526,13294,11179,6648,6670,4552,1292,62350,11628,9518,12986,12256,11363,17864,17117,5165,2402412
259,여성,80대,40820,7115,2217,1834,1665,959,1005,568,191,10207,1652,1366,2006,2157,2147,2487,2485,759,2402412
260,여성,90대이상,7971,1277,415,328,343,205,204,133,29,1934,403,223,413,529,441,458,506,130,2402412
261,여성,계,6023391,725401,314628,301227,338389,196400,185250,129560,54356,1631137,224514,228591,300104,249221,246224,354832,430289,113268,2402412
262,기타,법인 및 사업자,3940997,445873,376454,159705,517738,79273,87031,50855,11174,700623,67835,95289,112344,95847,315425,127574,335396,362561,2402412
263,합계,,26297919,3176933,1559310,1262604,1747927,730751,737012,607481,202257,6645518,874655,949503,1272954,1002889,1277926,1552434,1982320,715445,2402412
